tamano_aula	50
tamano_equipos	5

1	F	6.0	8.0	16.0	9.0	10.0	3.0	14.0	3.0
2	F	10.0	2.0	9.0	10.0	7.0	9.0	9.0	14.0
3	F	10.0	9.0	12.0	4.0	11.0	2.0	19.0	3.0
4	F	0.0	5.0	19.0	5.0	20.0	14.0	0.0	6.0
5	F	18.0	4.0	11.0	8.0	7.0	12.0	8.0	2.0
6	M	8.0	8.0	8.0	8.0	6.0	12.0	7.0	11.0
7	M	9.0	16.0	13.0	4.0	1.0	3.0	20.0	4.0
8	F	7.0	11.0	20.0	7.0	6.0	5.0	6.0	8.0
9	M	6.0	8.0	5.0	9.0	9.0	8.0	20.0	5.0
10	F	4.0	9.0	11.0	13.0	9.0	10.0	9.0	5.0
11	F	15.0	7.0	11.0	6.0	7.0	8.0	14.0	2.0
12	F	4.0	5.0	15.0	12.0	3.0	8.0	9.0	14.0
13	M	12.0	5.0	13.0	12.0	6.0	8.0	9.0	5.0
14	F	8.0	7.0	21.0	8.0	2.0	7.0	11.0	6.0
15	F	10.0	17.0	25.0	12.0	13.0	4.0	17.0	1.0
16	M	13.0	7.0	24.0	17.0	3.0	17.0	9.0	10.0
17	F	7.0	11.0	12.0	9.0	6.0	3.0	17.0	5.0
18	F	7.0	8.0	5.0	15.0	11.0	7.0	18.0	0.0
19	F	10.0	13.0	13.0	9.0	10.0	4.0	34.0	7.0
20	F	9.0	9.0	16.0	6.0	1.0	5.0	8.0	16.0
21	F	11.0	10.0	12.0	8.0	8.0	11.0	11.0	0.0
22	F	10.0	5.0	9.0	10.0	9.0	5.0	15.0	7.0
23	F	8.0	10.0	10.0	18.0	6.0	4.0	7.0	7.0
24	F	10.0	11.0	12.0	5.0	5.0	6.0	11.0	10.0
25	F	13.0	13.0	14.0	12.0	11.0	8.0	14.0	15.0
26	F	12.0	7.0	14.0	6.0	8.0	5.0	9.0	9.0
27	F	7.0	6.0	20.0	9.0	3.0	5.0	10.0	12.0
28	F	10.0	16.0	23.0	10.0	1.0	6.0	19.0	16.0
29	F	20.0	13.0	6.0	9.0	9.0	16.0	10.0	19.0
30	M	7.0	8.0	14.0	6.0	8.0	11.0	9.0	7.0
31	M	4.0	1.0	5.0	17.0	17.0	16.0	7.0	2.0
32	F	2.0	11.0	14.0	7.0	8.0	3.0	15.0	9.0
33	M	5.0	10.0	15.0	5.0	0.0	35.0	0.0	0.0
34	M	11.0	13.0	16.0	13.0	10.0	8.0	16.0	12.0
35	F	10.0	7.0	9.0	14.0	10.0	8.0	10.0	2.0
36	F	10.0	9.0	11.0	7.0	9.0	7.0	11.0	7.0
37	F	16.0	6.0	7.0	4.0	3.0	6.0	11.0	17.0
38	F	8.0	10.0	12.0	7.0	10.0	5.0	11.0	7.0
39	F	2.0	15.0	25.0	1.0	3.0	2.0	16.0	6.0
40	M	14.0	7.0	11.0	13.0	11.0	4.0	31.0	7.0
41	F	6.0	14.0	31.0	9.0	9.0	1.0	19.0	11.0
42	F	6.0	5.0	1.0	14.0	11.0	7.0	15.0	11.0
43	F	8.0	7.0	8.0	12.0	5.0	12.0	8.0	8.0
44	M	14.0	7.0	19.0	16.0	9.0	19.0	10.0	7.0
45	M	12.0	6.0	8.0	6.0	6.0	8.0	18.0	6.0
46	F	11.0	14.0	20.0	9.0	9.0	14.0	17.0	6.0
47	F	0.0	5.0	20.0	18.0	12.0	0.0	15.0	0.0
48	M	6.0	9.0	11.0	11.0	9.0	7.0	8.0	9.0
49	M	9.0	9.0	11.0	6.0	9.0	7.0	10.0	9.0
50	F	15.0	7.0	20.0	4.0	12.0	5.0	5.0	2.0
