tamano_aula	60
tamano_equipos	5

1	F	9.0	4.0	16.0	7.0	6.0	8.0	7.0	13.0
2	F	16.0	12.0	5.0	6.0	10.0	6.0	10.0	4.0
3	F	13.0	31.0	20.0	5.0	5.0	5.0	17.0	5.0
4	F	7.0	7.0	15.0	13.0	3.0	7.0	7.0	10.0
5	F	10.0	6.0	11.0	6.0	23.0	4.0	31.0	9.0
6	F	13.0	8.0	11.0	3.0	6.0	8.0	17.0	4.0
7	F	9.0	4.0	6.0	9.0	14.0	9.0	10.0	10.0
8	M	14.0	14.0	11.0	13.0	11.0	13.0	12.0	12.0
9	F	10.0	9.0	12.0	4.0	11.0	2.0	19.0	3.0
10	F	10.0	10.0	9.0	7.0	9.0	9.0	9.0	7.0
11	F	8.0	7.0	21.0	8.0	2.0	7.0	11.0	6.0
12	F	7.0	7.0	18.0	3.0	7.0	4.0	13.0	11.0
13	F	10.0	13.0	13.0	9.0	10.0	4.0	34.0	7.0
14	M	5.0	17.0	17.0	13.0	5.0	5.0	4.0	5.0
15	F	51.0	13.0	4.0	3.0	4.0	0.0	9.0	16.0
16	M	6.0	8.0	6.0	6.0	8.0	0.0	27.0	9.0
17	M	13.0	10.0	7.0	9.0	8.0	5.0	13.0	5.0
18	F	15.0	10.0	7.0	6.0	6.0	6.0	10.0	12.0
19	M	5.0	11.0	9.0	13.0	8.0	6.0	13.0	5.0
20	F	18.0	4.0	11.0	8.0	7.0	12.0	8.0	2.0
21	M	7.0	16.0	10.0	12.0	1.0	10.0	10.0	5.0
22	F	2.0	11.0	14.0	7.0	8.0	3.0	15.0	9.0
23	M	8.0	7.0	19.0	9.0	11.0	5.0	2.0	9.0
24	F	15.0	15.0	15.0	8.0	13.0	17.0	17.0	14.0
25	M	10.0	10.0	14.0	5.0	7.0	4.0	14.0	6.0
26	F	9.0	11.0	14.0	5.0	4.0	4.0	12.0	11.0
27	F	14.0	7.0	18.0	3.0	0.0	4.0	8.0	16.0
28	M	14.0	16.0	20.0	4.0	9.0	4.0	27.0	6.0
29	F	8.0	8.0	15.0	10.0	8.0	4.0	10.0	7.0
30	F	7.0	14.0	10.0	8.0	9.0	4.0	15.0	3.0
31	M	14.0	7.0	11.0	13.0	11.0	4.0	31.0	7.0
32	F	17.0	11.0	16.0	4.0	6.0	17.0	14.0	14.0
33	M	6.0	10.0	10.0	4.0	7.0	5.0	14.0	14.0
34	F	7.0	11.0	20.0	7.0	6.0	5.0	6.0	8.0
35	F	10.0	7.0	9.0	14.0	10.0	8.0	10.0	2.0
36	M	14.0	14.0	13.0	11.0	13.0	12.0	13.0	9.0
37	F	11.0	9.0	12.0	9.0	5.0	7.0	8.0	9.0
38	F	9.0	11.0	25.0	5.0	3.0	7.0	2.0	8.0
39	M	8.0	12.0	8.0	7.0	9.0	6.0	14.0	6.0
40	M	8.0	10.0	17.0	8.0	8.0	8.0	5.0	6.0
41	F	5.0	25.0	13.0	10.0	8.0	8.0	18.0	12.0
42	F	15.0	28.0	18.0	5.0	0.0	3.0	27.0	4.0
43	F	9.0	9.0	21.0	7.0	7.0	4.0	7.0	4.0
44	F	14.0	15.0	15.0	12.0	8.0	11.0	13.0	11.0
45	F	8.0	5.0	17.0	6.0	3.0	2.0	22.0	7.0
46	F	7.0	16.0	16.0	7.0	5.0	1.0	6.0	12.0
47	F	6.0	5.0	11.0	14.0	9.0	8.0	10.0	7.0
48	F	10.0	11.0	10.0	6.0	7.0	9.0	9.0	8.0
49	F	3.0	12.0	15.0	6.0	9.0	6.0	16.0	3.0
50	F	6.0	15.0	16.0	3.0	3.0	7.0	10.0	10.0
51	M	6.0	12.0	12.0	10.0	7.0	7.0	13.0	3.0
52	M	11.0	12.0	8.0	9.0	7.0	4.0	10.0	9.0
53	F	20.0	15.0	0.0	8.0	2.0	1.0	15.0	8.0
54	F	16.0	10.0	12.0	12.0	12.0	10.0	14.0	14.0
55	M	13.0	12.0	12.0	13.0	12.0	13.0	12.0	12.0
56	F	18.0	0.0	28.0	0.0	0.0	3.0	0.0	20.0
57	F	11.0	7.0	15.0	5.0	4.0	4.0	17.0	7.0
58	M	14.0	13.0	12.0	4.0	4.0	9.0	10.0	4.0
59	F	9.0	8.0	11.0	10.0	7.0	7.0	11.0	7.0
60	F	7.0	21.0	7.0	10.0	17.0	1.0	27.0	9.0
